Word,Subject_def,#subjects,Mean_freq,SD
bay,bay leaves,6,30,11
buffer,to load a web page,13,58,26
clock,to notice something,26,18,13
crash,to stay overnight at someone's house,10,34,21
fly,cool / attractive,11,13,11
forge,to fabricate something,9,46,25
jam,to take part in a session of music playing,15,20,9
keen,eager,57,80,20
mint,new / undamaged,29,24,17
mortar,a cannon used to loft explosive missles,20,35,18
pack,a group of animals,22,34,16
pad,someone's house,20,27,19
pit,to place in opposition,8,29,11
plane,an airplane,60,66,20
pool,snooker,17,30,16
sack,to dismiss from a position,57,40,16
sheer,used for emphasis,7,51,27
stall,"of a vehicle / engine, to stop running ",5,34,28
stick,"to attach or fix with tape, paste, etc.",23,37,15
toll,"a cost, loss, or exhaustion cause by some action / event",10,37,17
vault,a room or object for storing valuables,24,51,19
