Word,Relatedness,Letters,Phonemes,Syllables,Raw_freq,Log_freq,N,Log_bigram,Senses1,Senses2,SemD,Imageability,Concreteness,AoA,Familiarity,#nouns,#verbs,#adjectives
angle,2.03,5,4,2,24.37,1.39,1,2.30,12,8,1.63,5.03,4.67,8.05,5.18,6,5,0
arch,1.83,4,2,1,10.09,1.00,1,2.45,6,7,1.71,6.04,5.12,8.26,4.63,2,3,1
bay,2.93,3,2,1,37.21,1.57,21,3.12,3,10,1.71,5.70,5.80,8.67,4.74,3,0,0
bear,1.57,4,3,1,58.65,1.77,18,3.44,13,15,2.11,5.72,5.85,3.58,5.26,4,8,1
blow,3.97,4,3,1,32.78,1.52,8,2.66,17,29,1.95,3.99,3.97,4.00,5.36,5,12,0
buffer,2.57,6,5,2,7.64,0.88,2,2.55,7,8,1.34,4.59,5.09,12.37,4.02,5,2,0
bush,2.03,4,3,1,40.70,1.61,9,2.88,6,9,1.47,5.49,5.85,4.90,5.32,5,1,0
bust,1.87,4,4,1,7.26,0.86,11,3.22,12,10,1.70,4.30,-,9.23,3.93,7,4,1
calf,2.07,4,3,1,6.85,0.84,3,3.07,3,4,1.49,5.59,5.92,6.63,4.54,3,0,0
camp,1.77,4,4,1,36.69,1.56,6,2.98,10,12,1.71,5.88,5.71,5.78,5.41,5,3,1
cape,1.73,4,3,1,10.88,1.04,14,2.68,2,2,1.51,5.20,5.81,6.90,4.28,2,0,0
card,2.27,4,3,1,53.01,1.72,12,3.19,6,13,1.67,5.76,5.65,6.20,5.62,5,1,0
chord,2.10,5,3,1,6.21,0.79,2,3.03,5,4,1.11,-,-,9.71,-,4,2,0
clock,1.80,5,4,1,29.51,1.47,7,2.90,4,2,1.75,6.40,5.91,4.42,6.36,2,2,0
corn,1.53,4,3,1,11.84,1.07,10,3.20,8,9,1.45,5.80,5.76,4.61,4.69,5,2,0
crash,1.60,5,4,1,26.73,1.43,5,2.83,18,17,1.64,5.34,-,6.11,5.13,5,9,1
dam,1.47,3,3,1,6.81,0.83,11,2.30,5,4,1.53,-,-,6.58,3.20,3,2,0
ear,1.93,3,2,1,29.59,1.47,11,2.68,6,5,1.73,5.97,6.40,3.63,5.60,5,1,0
egg,1.60,3,2,1,24.16,1.38,1,1.62,5,5,1.44,5.99,6.13,3.89,6.08,4,1,0
fan,1.63,3,3,1,18.09,1.26,16,3.16,8,7,1.69,5.82,5.57,5.63,5.20,3,0,5
fleet,2.63,5,4,1,24.66,1.39,2,2.75,8,7,1.54,3.52,5.20,10.74,4.01,3,4,1
flight,4.63,6,4,1,56.02,1.75,5,2.62,7,12,1.50,4.87,-,7.47,5.31,7,0,0
flock,2.47,5,4,1,8.10,0.91,5,2.82,9,7,1.63,5.16,4.77,7.18,4.34,6,3,0
fly,5.53,3,3,1,39.88,1.60,6,1.75,15,20,1.62,5.82,5.25,3.05,5.37,6,9,0
forge,2.13,5,3,1,4.92,0.69,4,2.99,9,9,1.91,2.86,-,9.80,4.08,2,7,0
fry,2.13,3,3,0,12.30,1.09,9,1.95,10,6,1.28,-,-,5.79,4.87,6,4,0
gin,1.67,3,3,1,5.73,0.76,13,1.71,4,6,1.47,5.55,6.39,12.06,5.21,4,1,0
hide,1.63,4,3,1,26.39,1.42,10,2.93,6,6,1.83,4.30,4.51,4.47,5.15,2,4,0
hiding,1.83,6,5,2,14.58,1.16,5,2.95,3,1,1.78,-,-,-,-,3,0,0
host,3.33,4,4,1,34.33,1.54,8,3.40,6,11,1.96,-,-,8.05,-,5,1,0
jam,2.23,3,3,1,9.82,0.99,12,1.66,13,11,1.60,5.69,5.63,6.56,5.29,4,9,0
keen,1.77,4,3,1,38.02,1.58,5,3.50,5,6,2.08,2.30,3.36,10.70,5.62,1,1,3
launch,4.37,6,4,1,34.02,1.53,2,2.68,8,8,1.86,4.02,-,7.92,4.63,3,5,0
lawn,2.27,4,3,1,10.59,1.02,7,2.86,2,1,1.42,5.98,5.88,5.45,5.01,2,0,0
lean,1.70,4,3,1,13.41,1.13,11,3.37,11,10,1.73,3.39,3.95,7.17,4.91,3,5,0
limp,4.07,4,4,1,5.62,0.75,6,3.05,5,5,1.59,4.18,4.81,7.16,4.50,1,2,2
lock,1.43,4,3,1,24.19,1.38,14,2.95,12,15,1.67,5.32,5.65,5.74,5.88,6,6,0
mail,1.53,4,3,1,36.05,1.56,15,3.22,6,7,1.70,5.65,5.08,4.65,5.94,4,2,0
mat,3.80,3,3,1,5.61,0.75,22,3.06,9,10,1.85,5.37,5.13,4.62,4.90,6,5,1
mate,1.90,4,4,2,15.66,1.19,19,3.12,12,12,1.60,4.72,5.07,8.67,6.40,6,5,0
meal,3.93,4,3,1,42.72,1.63,12,3.11,3,3,1.58,5.73,6.02,4.74,6.03,3,0,0
mint,1.47,4,4,1,7.22,0.86,10,3.23,7,7,1.47,4.85,-,5.94,5.25,4,2,1
mortar,3.03,6,5,2,6.50,0.81,1,2.63,6,4,1.28,4.49,5.48,11.90,3.68,5,1,0
mount,5.07,5,4,1,18.56,1.27,4,3.36,11,13,1.95,3.76,-,8.53,4.56,3,8,0
novel,2.40,5,4,2,44.94,1.65,2,2.89,2,4,1.34,5.47,5.29,9.50,5.30,1,0,1
pack,2.20,4,3,1,33.68,1.53,15,3.33,17,22,1.82,4.04,-,6.55,5.72,5,11,1
pad,3.30,3,3,1,7.29,0.86,19,3.12,14,11,1.75,-,-,8.83,-,10,4,0
palm,1.93,4,3,1,13.87,1.14,5,2.88,7,5,1.59,5.55,5.96,6.00,5.15,5,2,0
peel,2.60,4,3,1,7.79,0.89,8,2.79,7,6,1.46,4.75,4.32,2.83,4.23,2,5,0
peer,1.97,4,3,1,9.36,0.97,11,3.00,4,3,1.81,3.11,4.06,10.21,4.85,2,2,0
pen,1.53,3,3,1,20.00,1.30,20,2.80,7,6,1.76,5.76,5.71,5.11,5.54,5,2,0
pet,1.80,3,3,1,14.50,1.16,22,3.02,8,7,1.39,5.89,5.57,4.05,5.41,3,3,2
pine,1.57,4,3,1,11.01,1.04,18,3.03,4,3,1.47,4.78,5.92,5.53,4.62,2,2,0
pink,1.40,4,4,1,33.22,1.52,12,2.80,8,7,1.54,-,-,3.80,-,3,3,2
pit,2.17,3,3,1,17.47,1.24,18,2.27,16,11,1.67,5.89,5.93,6.14,4.93,11,5,0
plane,4.23,5,4,1,36.20,1.56,6,3.03,10,9,1.58,5.56,5.35,4.95,5.58,5,3,2
plot,1.63,4,4,1,22.07,1.34,6,2.53,8,7,1.67,4.20,3.79,8.65,5.15,3,5,0
plump,3.80,5,5,1,6.34,0.80,5,2.23,11,7,1.49,5.00,-,8.21,4.45,2,4,2
pool,2.40,4,3,1,48.08,1.68,9,2.88,11,11,1.64,5.77,5.73,5.15,5.41,8,3,0
pose,2.10,4,3,1,11.94,1.08,12,3.04,8,9,2.02,3.64,-,7.89,4.56,2,6,0
